Date,Time,Type,USD Volume,Token Amount,Price,Maker Address,Txn Link
2026-03-01,07:05:31 PM,Buy,1.98,11299,0.0001749,0x4071112341B41567396b9930407F90De54f7d437,https://bscscan.com/tx/0x29e9d1051a6f92c93075fc9939b31583d077c514a7a4767b08bc50bd001d6174
2026-03-01,07:05:27 PM,Sell,315.03,1800000,0.0001749,0xfA2a6Feb4D3e11c650ba067ea53e24a42EC935Eb,https://bscscan.com/tx/0x80827a106f8e79ad01e9e480f0eaf02b4c3293f5a3663b9729c14bac9c6b0427
2026-03-01,07:04:59 PM,Sell,7.16,40720,0.0001757,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0xe4a6ad7ded3b617edccabb0c3c25076e12ca66af72f55c442e57c6c43a440622
2026-03-01,07:03:12 PM,Buy,3.39,19217,0.0001764,0xB5CB055a7bC8b480a9AF9f31168445b53Aa2cBb3,https://bscscan.com/tx/0x85bb1a58075c3bf2b461ec35d710e885813aee48222beafa77479b974b40901e
2026-03-01,07:01:49 PM,Sell,9.01,51185,0.0001764,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0xc45961717bdbeafc3b7076412dba8913c4eb909e02d19104792708ce87ccde85
2026-03-01,07:01:38 PM,Buy,2.07,11711,0.0001765,0x4071112341B41567396b9930407F90De54f7d437,https://bscscan.com/tx/0x350a226820b30407adef64a2bf8b509cee4dfecbbe6ff918e9d3c2d354793063
2026-03-01,07:01:38 PM,Sell,79.33,450000,0.0001765,0xfA2a6Feb4D3e11c650ba067ea53e24a42EC935Eb,https://bscscan.com/tx/0x50288b6d5209580f7de97d1c8970f9799d6c576d9ecdae395badb17498a5daf9
2026-03-01,06:57:16 PM,Sell,13.31,75448,0.0001767,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0xc691fe6e7b127bd9f6b7f13dfba124f39cd225c17a8ef5aa3e6cb622f8089ecb
2026-03-01,06:56:48 PM,Sell,16.59,94022,0.0001768,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0x11e4621b9786e2d14065d56e7c250bea45ad3553fe51384f535f9ceb7b4c6274
2026-03-01,06:55:39 PM,Sell,150.35,846000,0.0001778,0xfA2a6Feb4D3e11c650ba067ea53e24a42EC935Eb,https://bscscan.com/tx/0x41e6ae80a352ceffec3acc2d54fef51322add90cb9885ba6f74ec000ebeb7dc8
2026-03-01,06:55:03 PM,Sell,12.95,72815,0.0001782,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0x7b5dd857bbd78567223c678dfb5871ed273ce7eb64036bea8ddf48511d1bd3b1
2026-03-01,06:52:35 PM,Sell,15.35,85018,0.0001809,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0xd90f69f624b1681d859e9bdc38b885f6c99df6777065ada2f5fc30e97d0faaa6
2026-03-01,06:51:32 PM,Sell,138.29,765000,0.0001809,0xfA2a6Feb4D3e11c650ba067ea53e24a42EC935Eb,https://bscscan.com/tx/0x49451dd5a5d866ad8ef9e6ab2ec6fa668524d48cefcdcb08ae29cbfdb0f217b8
